Hospital,username,review,stars_given,Branch location,Time
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Partha Sarothi Bhattacharjee,"Dr. Kapil who treated my son was very accommodating to our requests and his treatment vas thorough.The hospital bills, I felt were a bit towards the higher side but it was very clean and hygienic. The room was large the attendant bed was also relatively comfortable.The bills were completely transparent and we're explained properly.",5.0,Telangana 500034,3 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Srikanth Sri,"I had first time visited to Rainbow hospital for our child, Dr Ujwala mam is very nice and polite person i ever seen., We have never had any issues getting our kids in when they need to see him and have always felt very confident in his care. She's has a very knowledgeable and friendly staff.",5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Varun Rangaraju,"Dr. Faisal’s expertise as a pediatrician truly shone when my family visited Hyderabad from Canada and our kids fell ill. His diagnosis of a food bug was accurate, and his patience in listening to our concerns and thoroughly examining the patients was commendable. We were referred to him by several friends, and now we understand why. His care and treatment were exceptional, and we left Rainbow hospital feeling reassured and grateful. Highly recommended for families seeking top-notch pediatric care.",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Sai Charan,"'An Anaesthesiologist knows, who's the best obstetrician'.Being an Anaesthesiologist I had the privilege of choosing the best obstetrician, Dr. Bhargavi Reddy. Mam helped a lot in explaining everything, giving importance even to minute details. with the help of labour epidural analgesia by Dr. Sunidhara Reddy, my wife had a pain-free and a safe normal delivery conducted by Bhargavi Mam and Dr. Sindhu.A heartful appreciation to the nursing and supporting staff🙏.Lactation supervision was the best and I couldn't ask for more.Co-ordinators were really helpful in managing everything and to get things done in time.Thank you Rainbow and Birthright, it was a pleasant journey for us.",5.0,Telangana 500034,5 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Nagendra Reddy Bandi,"My experience in rainbow hospitals i e in Banjara hills road no:2. Rainbow hospitals birth right (this is the tag)It's very pathetic with maintenance,lift services, cafeteria food related, room nurse services, ip billing, insurance, even we have to pay for parking, my suggestion it's better to look other hospitals if the doctor would come there to do any service.Due to timeline, I'm writing very less points writing this review.I've requested them to remove the needle from my kid's hand while discharging and they said ok we will do .. waited for long time and they didn't and again I requested the doctor she said ok nurse will come do that not by me..The funny thing is, once all things has done they r requesting the good feedback it's really not sure what should I mention on this.Some times they would behave like wildly.Really they have done soo much of hipe... This hospital doesn't have that much capacity to do the service.",1.0,Telangana 500034,5 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Swapna Biradar,"We came to Rainbow hospital in Emergency for our son.He was admitted here for two days under the observation of Dr. Abhishek Jain. Doctor is extremely good, he explained each and every doubt about our sons condition.and handled him with all the medical needs. The hospital,staff, services are very nice.Had a great experience. Thank you.",5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",jessonk india,Excellent Hospital & Exceptional Treatment. The doctors were very kind and patient enough to answer all our Queries. They were always ready to explain the treatment and medications. The doctors were always ready to fill our hearts and minds with positivity and hope. Also want to thank the nurses who were working patiently round the clock. My son got admitted here and recieved the very best treatment.I would wholeheartedly recommend anyone to trust the hospital and the doctors in Rainbow.,5.0,Telangana 500034,3 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Thilothama Bandari,"We are seeing Dr Faisal sir from past 7.5 years. Doctor is always thorough in his examinations, listens patiently to all my concerns I appreciate that doctor explains the treatment in easy way .he is incredibly knowledgeable and I strongly believe that all my 3 children are in good hands. I have seen many doctors but I feel truly fortunate to have Dr.Faisal as my children doctor and I’m Confident everyone does feel the same.with Dr.Faisal you will never be disappointed.The staff I encountered are really good and understanding.* straight forward treatment is given*",5.0,Telangana 500034,3 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",pranay reddy,"I recently had the privilege of receiving care at Rainbow Hospital in Banjara Hills, and I couldn't be more impressed. Dr. Shruthi Reddy, the gynecologist, stood out for her exceptional care and dedication to promoting normal delivery. Her emphasis on this aspect of childbirth reassured me and made me feel empowered throughout the process.Furthermore, the entire staff and nursing team at Rainbow Hospital were outstanding. Their genuine concern and attentiveness made me feel supported and cared for every step of the way. From prenatal appointments to delivery, they were there to provide comfort and assistance whenever needed.I must also commend Gulshan, the coordinator at the hospital. Her wealth of information and guidance were invaluable.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Shahrukh Khan,"I am really impressed with exceptional food and beverage service at the hospital! I was surprised by the variety and quality of meals offered during my stay. The menu catered to different dietary needs, ensuring everyone's preferences were met. The stuff were courteous and prompt in delivering meals, making sure I had everything I needed.Overall, a fantastic experience that made my hospital stay more comfortable. Highly recommend!!!",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",rekha sawant,"I had first time visited to Rainbow hospital  for our child, Dr Farhan sir is very nice and polite person i ever seen., We have never had any issues getting our kids in when they need to see him and have always felt very confident in his care. He has a very knowledgeable and friendly staff. I would (and do)recommend this office to anyone looking for a pediatrician.",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Sunil M,"Admitted my kid for adeno tonsillectomy surgery. We have been consulting Dr. PVLN Murthy for few months and we tried some medication initially. When the problem didn’t get resolved with medicine, the doctor decided for surgery procedure. The procedure was quick and my kid is recovering now. I found the doctor is very friendly, skill full and experienced. The nursing staff and hospital facilities are also good.",4.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",abdul Rahaman,During Follow up review met Dr. Faisal sir  and explained the reason for infection and how to be precautions required for prevent repetitive infections. Advised well about medications usage.I am especially thank you to Dr. Faisal b Nahdi sir for his wonderful treatment to my child.,5.0,Telangana 500034,4 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",sirish chandra,* All walls peeled of with wall paintings* Washrooms with 😄 requests from HK dept* No drinking water glasses available near purified water dispensers and used disposable glasses can be seen all over* cleanliness of chairs and floors is unacceptable specially in children’s hospital* But “ Parking is free only for pass holders and rest have to pay .The above two stars also have been given exclusively for doctors and their service - who are doing the best on their part,2.0,Telangana 500034,2 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Maryam Khan,The entire service of the hospital was excellent. I didn't feel like I was at hospital with my kid felt like home. My kid itself complimenting that she felt very good here. Thank you to the entire team.,5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Prabhat Jha,"It was an awesome experience right from Day 1.Kirti Reddy patlolla was our consultant and she was too good professionally and wife was comfortable with her as well.Dr Nalinikant sir and Dr Nilesh took care of Baby the moment after he was born. Baby was preterm 2 months short, Doctors and staff in NICU took great care of Baby for 6 days.Priyanka Tripathi was the one who supported us in understanding process and admission after we were moved out of NICU.She was right away whenever we were in need of support.Rooms are Clean, Staffs are great, every Nurse behave really nice, Food for Patients and Attendents are good.24*7 Cafeteria is there which is much needed.Overall it was an excellent experience.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Avinash T,Very much Satisfied with the Experience here over Rainbow hospitals . Dr PVLN Murthy gaaru had operated my son for adenoids & tonsils and that was success. He recovered quickly and post care was really good.. That's a great experience.. I suggest everyone who wanted to opt to go for Rainbow & Murthy sir for ENT related .!!,5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",ram iruku,My kid has undergone Adenoid surgery by Dr. Murthy sir. The surgery was well planned and it went smooth. The staff and support team is good and their service is amazing.,5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",bro code,"We had taken our niece to Rainbow Hospitals to get treated by Dr.Venkata Lakshmi Garu after hearing about her in glowing terms from everyone.She has been suffering from repeated fever for past month and half. She was very courteous and explained us what the problem could be and also recommended to get admitted getting all the necessary care and tests done.The admission process and all the care taken post that was very smooth and pleasant. The MOD, PRO, all the nurses and housekeeping staff took good care of us.Special mention to the Duty Doctor Pranav who visited us multiple times and gave good re-assurance.We arrived tensed but left happy thanks to Venkata Lakshmi Garu who took care of our child as if her own. She visited us multiple times while being admitted and gave the right medical advice.Regards,Happy Family - Admitted in room 328 in the week of April 10th to April 13th.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Bashama zehra,"Our experience with the hospital was very satisfactory throughout. From ground level staff to the top level, it was helpful. Dr shruti Reddy Poddutoor is one of the best gynaecologists in the city and a special mention to the lactation consultant Dr. Swati who explained us the details and that helped us a lot.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",satya karuturi,Dr. Naveen - (Pulmanology department) treated my daughter suffering from cough since 1 year. Very friendly with kids and we are fully satisfied with treatment.Dr.Sruthi also very good in clarifying our doubts and very supportive.,5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Muttineni Sai Rohith,"The facilities at Rainbow Hospital are top-notch, and the cleanliness and hygiene standards are impeccable.The doctors and nurses demonstrated utmost competence and ensured that we received the best possible care throughout the entire process. Their attentiveness and support made a significant difference during this special time for our family.Additionally, the amenities provided added to the overall positive experience.",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Aravind Kurra,"Our experience at Rainbow Clinic, Banjara Hills, under the care of Dr. Bhargavi Reddy, was exceptional. Dr. Reddy delivered our baby boy with utmost care, and the nursing staff was incredibly accommodating throughout the process. The gynecological treatment was thorough, and we felt well taken care of. Although the hospital bills were slightly higher, the transparency and hygiene standards of the facility were commendable. The spacious room and comfortable attendant bed added to our overall satisfaction",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",ES Kranthi,Went to Dr VVR Satya Prasad sir and happy with fast diagnosis and tips that he had shared for recovery . He avoided unnecessary diagnosis and identified the rootcause in one simple test. Any urinary related issue better to start with him rather than going through general paediatrics.Very detailed and experienced doctor. The staff Mr Satyam was very patient and friendly and had helped in faster appointments and throughout the process.,5.0,Telangana 500034,5 days ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Nadimpalli Ravi Teja,"Doctor Pranathi reddy, doctor Kapil and others we consulted are extremely good. Can't recommend enough.They is very professional and listened to all our concerns and answered them is a very polite way.Also sathyam who was helping us navigate around the hospital was also really good.Exceptional service.Well trained nurses and other staff.Very smooth process till discharge, no hiccups found.Below are minor things that I see some scope for improvements,(I am definitely nitpicking.)- Parking can be more streamlined, especially for people who are not using Valet parking.- Lift sometimes takes ages to stop at our floor.The best service with a smile.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",vijay suryavanshi,"Best hospital for paediatric care/treatment. My son was suffering from Nephrolytic syndrome with hypertension got admitted under Dr Satyaprasad VVR sir, one of the best Nephrologist. After 10days of treatment under him my son is feeling well now. Doctor Satyaprasad sir is very friendly. Personal care of child is taken by the ICU Team, also timely medicine is given by the nursing staff in the sharing ward. Thankyou.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Gayathri Gayatri,My experience with rainbow children hospital Banjara hills is  good . My daughter recovered  within 4 days for the cure pneumonia. Doctor Ujwala madam  visited two times daily and given confidence to parents  and explained all treatment details with patience. I will recommend to others for  admission in this hospital. This is my experience. My sincere Thanks to Doctor and management. Supporting staff are discipline and punctual to their duties . Kept premises clean all the time .,4.0,Telangana 500034,4 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",nithin p,"Great team of doctor, support staff, nursing team, food team. We haven’t felt left out or alone in the whole process and Pranathi reddy has be a strict but a great support in the whole process. We had a great experience  delivery and in recovery process.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Mohammed Ali,"We had a wonderful experience consulting Dr. Shruthi Reddy throughout the pregnancy. At the time of delivery, Dr. Bhargavi Reddy helped my wife deliver the baby with immense patience and compassion. The service at Rainbow Hospital was excellent. We’d like to thank the doctors, nurses, floor incharge and all the staff for a good experience.",4.0,Telangana 500034,6 days ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",yousuf jeelani,"My experience with rainbow has been very unpleasant with a new mother or twin babies, we were in the room 315. The hospital and the room were clean and the doctor shruti reddy after the delivery there was no sign of her visit to the patient at this point being lost and wondering why she did not visit < Sept 21. 23 is the last we saw of her, coming to the nurses 2 per floor that we were staying with the new born were not attentive and also were asking us to do most of the handling it's a shame & review should be made so people who want to chose a hospital thinking about the care that a new mother deserves but did not get . I think special care should be taken regardless of twins or not . I hope this review actually makes a change also increase your staff or teach them better coordination.",1.0,Telangana 500034,7 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Asma Khaleel,"Completely satisfied with rainbow Hospital. The staff was polite and adept with their duties. With a sick child in my arms, I submitted myself to rainbow doctors and they delivered the duties well. My son is healthy and happy while leaving the hospital making few nurses as his friends. Definitely recommend it to others.",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",srikanth challa,"Had Tonsils surgery for my daughter at the Rainbow Hospital, Banjara Hills. Very happy with Dr. PVLN Murthy for the detailed explanation of the treatement during pre and post Operation. Would definetly recommend to others. Also, the Hospital staff, house keeping and coordinator were helpful, courteous and responsive.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Gitanjali Reddy,"Dr Rahul - pediatrician is very knowledgeable, informative, compassionate, communicative, explained everything in detail.Dr Srikanth - pediatrician is extremely helpful, explained baby care scientificallyDr Shruti Reddy mam is the best.Dhanusha, Neetu, Sonia feeding nurses are extraordinary.Highly satisfied with the catering , cleaning staff.",5.0,Telangana 500034,5 days ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Dhunga Naresh,Dr.Pranathi madam treated my wife. She is very cool. She supported for normal delivery. Continuously monitored for every 20 min.At the time of delivery sneha and maithri supported alot.Blessed with baby boy in first pregnancy.Thank you very much Pranathi madam.Taken Good care in NICU.,5.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Santosh Sharma,"Dr. HARISH JAYRAM is most trusted doctor in rainbow hospital. He has done hernia surgery and explain how it is done. Cleared our myths, Very thankfull to Doctor.OT manager Dr.priyanka has helped in getting things at quick pace.All the staff and Coordinator Gulshan has been so supportive and helpfulful.Thanks all for my daughter's smooth surgery and support you have given and now she is keeping well. Well deserve 5 Stars!!!",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",N S,"We did not have a great experience.  The facilities and staff are good.    Scanning doctor at Banjara hills was rude and arrogant at times.  Sometimes, scanning dates were not available in short notice.  Our main doctor did not present at the time of delivery and came after delivery.  I was surprised and felt very unhappy as I came specially for the doctor.   I would suggest the management to take a serious note of these issues.  Thank you for all the good work and support.",3.0,Telangana 500034,2 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Anu Radha,Dr.Aditi shah is very good doctor. Made me comfortable throughout the scan. Very patient and explained everything in detailed about the scan. Highly recommended,5.0,Telangana 500034,3 days ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",saiatmakur,"My son was admitted to Rainbow Hospital in Banjara Hills for four days, and we were disappointed with the service. Many services were delayed, and the treatment fell short of our expectations. Smaller hospitals provide better care. Some staff members were rude. During our follow-up consultation, we arrived 10 minutes late due to traffic, but they refused to see the doctor. It seems they prioritize profit over patient care. Dr. Faisal Bhandi and his assistant, as well as the management and some nursing staff, displayed unacceptable behavior. I never expected such a situation from Rainbow. I cannot recommend this hospital to my family and friends. Small hospitals are preferable. I rate it zero stars",1.0,Telangana 500034,2 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",HaniKumar Akula,"I have visited Rainbow Banjara hills for my baby. I highly recommend this hospital for children as it's neat and hygiene. DR. Naveen Saradhi sir helped a lot in my baby's treatment to get rid of RSV. I'm so glad  and thankful to you sir. Here staff also so friendly Ganesh,  Ramulu and all thanks for quick response.",5.0,Telangana 500034,a week ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Hamza Shamsia,"Dr. Faisal's dedication to pediatric care at Rainbow Hospital is truly commendable. His gentle demeanor, deep understanding of children's needs, and tireless efforts to ensure their well-being make him a beacon of hope for both young patients and their families. Dr. Faisal's passion for pediatric medicine shines through in every interaction, making him a trusted ally in nurturing the health and happiness of every child under his care.Dr. Faisal's dedication to pediatric care 😊😊😊😊😊💐💐💐💐💐🌹At Rainbow Hospital is truly commendable. His gentle demeanor, deep understanding of children's needs, and tireless efforts to ensure their well-being make him a beacon of hope for both young patients and their families. Dr. Faisal's passion for pediatric medicine shines through in every interaction, making him a trusted ally in nurturing the health and happiness of every child under his care.😊😊😊😊😊💐💐💐💐💐",5.0,Telangana 500034,a month ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Rajesh Reddy,"Dr. Pranati, Dr.Annie & Dr.Kirti were amazingly good and counselled/helped us go through the journey quite smoothly.The nursing staff was well trained and professional in their services.",5.0,Telangana 500034,4 hours ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Ravula thirupathi,Dr P V L N Murthy is a good ENT doctor. He explained everything about the treatment. He personally advised to take about the 2nd opinion regarding the adenoidectomy surgeryOverall rainbow is good.Please take two or three suggestions before going for any surgery,4.0,Telangana 500034,2 weeks ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",tangirala ns narayana,Dr.Pillarisetti Naveen Saradhi Pulmonologist treated my child with almost care and very polite and good explanation regarding treatment.We felt so happy for treating my child under dr.Naveen sir.We thanks all our team of rainbow who has taken good care in hospital of all concern departments.,5.0,Telangana 500034,2 days ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",Rajasree Lenka,"Hospital responded very quickly. Nurses are too cooperative and good. Dr Faisal is very good doctor. His treatment is very accurate and patience, listen well and explained properly. We have consulted with our first daughter since 10 years now We are consulting for our second baby too.",5.0,Telangana 500034,3 months ago
"Rainbow Children’s Hospital & BirthRight, Banjara Hills, Hyderabad - Best Maternity Hospital",John Loi (Nyonga),"I am impressed with the whole management of Rainbow Children's Padriatic hospital starting from the reception staff, Dr.Shruthi and Dr. Naveen, nurses, room cleaning, canteen, floor incharge(Mrs. Gulshan), security and all other support staff whom I didn't mention in this text..The level of hospitality is beyond expectationI believe my child has gotten an excellent medical center now.Thanks for your hospitality.",5.0,Telangana 500034,a week ago
